city,city_ascii,state_id,state_name,county_name,lat,lng,population,density,timezone,ranking,id
Tonopah,Tonopah,AZ,Arizona,Maricopa,33.4880,-112.9308,51,14,America/Phoenix,3,1840022926
Allendale,Allendale,MO,Missouri,Worth,40.4853,-94.2887,51,34,America/Chicago,3,1840010426
Boy River,Boy River,MN,Minnesota,Cass,47.1669,-94.1233,51,46,America/Chicago,3,1840006625
Dovray,Dovray,MN,Minnesota,Murray,44.0545,-95.5477,51,79,America/Chicago,3,1840006804
New Albany,New Albany,KS,Kansas,Wilson,37.5678,-95.9363,51,106,America/Chicago,3,1840008720
Nunda,Nunda,SD,South Dakota,Lake,44.1599,-97.0194,51,19,America/Chicago,3,1840000325
Grenville,Grenville,SD,South Dakota,Day,45.4670,-97.3902,51,83,America/Chicago,3,1840001559
Tolley,Tolley,ND,North Dakota,Renville,48.7309,-101.8273,50,132,America/Chicago,3,1840001865
Loretto,Loretto,NE,Nebraska,Boone,41.7635,-98.0817,50,68,America/Chicago,3,1840025513
Montello,Montello,NV,Nevada,Elko,41.2673,-114.1970,50,48,America/Los_Angeles,3,1840091659
Savageville,Savageville,VA,Virginia,Accomack,37.6826,-75.7591,50,18,America/New_York,3,1840024745
Belle Prairie City,Belle Prairie City,IL,Illinois,Hamilton,38.2235,-88.5556,50,44,America/Chicago,3,1840009834
Rinard,Rinard,IA,Iowa,Calhoun,42.3396,-94.4850,50,19,America/Chicago,3,1840009119
Beaver,Beaver,IA,Iowa,Boone,42.0383,-94.1400,50,77,America/Chicago,3,1840007010
Parkline,Parkline,ID,Idaho,Benewah,47.3384,-116.6939,50,39,America/Los_Angeles,3,1840025254
Badger Lee,Badger Lee,OK,Oklahoma,Sequoyah,35.4726,-94.8151,50,28,America/Chicago,3,1840040352
IXL,IXL,OK,Oklahoma,Okfuskee,35.5227,-96.3881,50,4,America/Chicago,3,1840021754
Skedee,Skedee,OK,Oklahoma,Pawnee,36.3804,-96.7039,50,144,America/Chicago,3,1840022662
Elmira,Elmira,MO,Missouri,Ray,39.5087,-94.1546,50,265,America/Chicago,3,1840012633
Doran,Doran,MN,Minnesota,Wilkin,46.1852,-96.4858,50,93,America/Chicago,3,1840006658
Leona,Leona,KS,Kansas,Doniphan,39.7861,-95.3214,50,306,America/Chicago,3,1840008431
Satartia,Satartia,MS,Mississippi,Yazoo,32.6720,-90.5445,50,134,America/Chicago,3,1840018054
Pronghorn,Pronghorn,OR,Oregon,Deschutes,44.1881,-121.1817,50,2,America/Los_Angeles,3,1840040420
Antelope,Antelope,OR,Oregon,Wasco,44.9113,-120.7236,50,41,America/Los_Angeles,3,1840018566
Rockport,Rockport,WA,Washington,Skagit,48.4854,-121.6065,49,51,America/Los_Angeles,3,1840018365
Robertson,Robertson,WY,Wyoming,Uinta,41.1816,-110.4274,49,6,America/Denver,3,1840042665
Bondurant,Bondurant,WY,Wyoming,Sublette,43.1948,-110.4026,49,0,America/Denver,3,1840064781
Ramirez-Perez,Ramirez-Perez,TX,Texas,Starr,26.3170,-98.6933,49,582,America/Chicago,3,1840041465
Corral City,Corral City,TX,Texas,Denton,33.0985,-97.2304,49,123,America/Chicago,3,1840022991
Prairie Rose,Prairie Rose,ND,North Dakota,Cass,46.8171,-96.8353,49,464,America/Chicago,3,1840000189
Nekoma,Nekoma,ND,North Dakota,Cavalier,48.5763,-98.3755,49,50,America/Chicago,3,1840000031
Erie,Erie,ND,North Dakota,Cass,47.1154,-97.3879,49,9,America/Chicago,3,1840004000
Orovada,Orovada,NV,Nevada,Humboldt,41.5610,-117.7762,49,0,America/Los_Angeles,3,1840091662
Fellows,Fellows,CA,California,Kern,35.1779,-119.5472,49,27,America/Los_Angeles,3,1840017816
Hayesville,Hayesville,IA,Iowa,Keokuk,41.2646,-92.2477,49,74,America/Chicago,3,1840007108
Dragoon,Dragoon,AZ,Arizona,Cochise,32.0263,-110.0365,49,10,America/Phoenix,3,1840064729
State Line,State Line,ID,Idaho,Kootenai,47.7052,-117.0366,49,171,America/Los_Angeles,3,1840074878
Tagg Flats,Tagg Flats,OK,Oklahoma,Delaware,36.3387,-94.9037,49,3,America/Chicago,3,1840034654
Umber View Heights,Umber View Heights,MO,Missouri,Cedar,37.6233,-93.8036,49,304,America/Chicago,3,1840012981
Irwin,Irwin,MO,Missouri,Barton,37.5884,-94.2870,49,63,America/Chicago,3,1840025726
Neihart,Neihart,MT,Montana,Cascade,46.9352,-110.7361,49,9,America/Denver,3,1840022301
Bridger,Bridger,MT,Montana,Gallatin,45.8112,-110.8959,49,5,America/Denver,3,1840057700
Millstone,Millstone,KY,Kentucky,Letcher,37.1638,-82.7495,49,88,America/New_York,3,1840026874
Turton,Turton,SD,South Dakota,Spink,45.0490,-98.0974,49,51,America/Chicago,3,1840002122
Torboy,Torboy,WA,Washington,Ferry,48.6772,-118.6689,48,19,America/Los_Angeles,3,1840026090
Glen Haven,Glen Haven,WI,Wisconsin,Grant,42.8313,-91.0633,48,8,America/Chicago,3,1840025448
Las Palmas,Las Palmas,TX,Texas,Zapata,26.9516,-99.2761,48,273,America/Chicago,3,1840025171
Kasaan,Kasaan,AK,Alaska,Prince of Wales-Hyder,55.5573,-132.4137,48,3,America/Sitka,3,1840023522
Chenega,Chenega,AK,Alaska,Valdez-Cordova,60.0757,-148.0194,48,0,America/Anchorage,3,1840137228
Kathryn,Kathryn,ND,North Dakota,Barnes,46.6812,-97.9704,48,31,America/Chicago,3,1840000163
Valmont,Valmont,CO,Colorado,Boulder,40.0341,-105.2058,48,68,America/Denver,3,1840024350
Emelle,Emelle,AL,Alabama,Sumter,32.7287,-88.3165,48,87,America/Chicago,3,1840016948
Burnt Prairie,Burnt Prairie,IL,Illinois,White,38.2508,-88.2585,48,244,America/Chicago,3,1840010818
Vining,Vining,IA,Iowa,Tama,41.9910,-92.3876,48,32,America/Chicago,3,1840010129
Coppock,Coppock,IA,Iowa,Henry,41.1635,-91.7151,48,78,America/Chicago,3,1840007146
Bryce,Bryce,AZ,Arizona,Graham,32.9258,-109.8229,48,22,America/Phoenix,3,1840022956
Clearview,Clearview,OK,Oklahoma,Okfuskee,35.3971,-96.1908,48,107,America/Chicago,3,1840022743
South Gifford,South Gifford,MO,Missouri,Macon,40.0258,-92.6831,48,90,America/Chicago,3,1840073821
Rea,Rea,MO,Missouri,Andrew,40.0616,-94.7646,48,154,America/Chicago,3,1840009475
Sun City,Sun City,KS,Kansas,Barber,37.3785,-98.9165,48,131,America/Chicago,3,1840009903
Paradise,Paradise,KS,Kansas,Russell,39.1145,-98.9184,48,75,America/Chicago,3,1840009707
Wilmore,Wilmore,KS,Kansas,Comanche,37.3352,-99.2103,48,104,America/Chicago,3,1840010874
Biddle,Biddle,MT,Montana,Powder River,45.1051,-105.3116,48,1,America/Denver,3,1840063776
Carrsville,Carrsville,KY,Kentucky,Livingston,37.3981,-88.3754,48,284,America/Chicago,3,1840014377
Naples,Naples,SD,South Dakota,Clark,44.7716,-97.5131,48,133,America/Chicago,3,1840000293
Cora,Cora,WY,Wyoming,Sublette,42.9578,-109.9917,47,3,America/Denver,3,1840003193
South Acomita Village,South Acomita Village,NM,New Mexico,Cibola,35.0534,-107.5610,47,32,America/Denver,3,1840042456
City of the Sun,City of the Sun,NM,New Mexico,Luna,31.8466,-107.6504,47,71,America/Denver,3,1840039998
Nara Visa,Nara Visa,NM,New Mexico,Quay,35.6068,-103.1043,47,2,America/Denver,3,1840024944
Rangerville,Rangerville,TX,Texas,Cameron,26.1050,-97.7373,47,5,America/Chicago,3,1840023169
Klukwan,Klukwan,AK,Alaska,Hoonah-Angoon,59.3987,-135.8886,47,13,America/Juneau,3,1840023677
Central,Central,AK,Alaska,Yukon-Koyukuk,65.5213,-144.6409,47,0,America/Anchorage,3,1840023433
Inkster,Inkster,ND,North Dakota,Grand Forks,48.1513,-97.6442,47,18,America/Chicago,3,1840000102
Nash,Nash,ND,North Dakota,Walsh,48.4778,-97.5245,47,17,America/Chicago,3,1840095098
Woodworth,Woodworth,ND,North Dakota,Stutsman,47.1421,-99.3045,47,85,America/Chicago,3,1840001921
Cotesfield,Cotesfield,NE,Nebraska,Howard,41.3575,-98.6335,47,34,America/Chicago,3,1840011660
Conejos,Conejos,CO,Colorado,Conejos,37.0872,-106.0161,47,37,America/Denver,3,1840026862
Carrick,Carrick,CA,California,Siskiyou,41.4467,-122.3635,47,308,America/Los_Angeles,3,1840081526
Worcester,Worcester,VT,Vermont,Washington,44.3719,-72.5495,47,271,America/New_York,3,1840086871
Gulf Port,Gulf Port,IL,Illinois,Henderson,40.8086,-91.0846,47,12,America/Chicago,3,1840029744
Cherry Log,Cherry Log,GA,Georgia,Gilmer,34.7864,-84.3839,47,15,America/New_York,3,1840025844
North Crows Nest,North Crows Nest,IN,Indiana,Marion,39.8661,-86.1623,47,280,America/Indiana/Indianapolis,3,1840009534
Mier,Mier,IN,Indiana,Grant,40.5748,-85.8234,47,75,America/Indiana/Indianapolis,3,1840024293
Gillett Grove,Gillett Grove,IA,Iowa,Clay,43.0166,-95.0365,47,81,America/Chicago,3,1840007994
Barrelville,Barrelville,MD,Maryland,Allegany,39.7026,-78.8425,47,413,America/New_York,3,1840024414
Holiday City,Holiday City,OH,Ohio,Williams,41.6182,-84.5385,47,7,America/New_York,3,1840011519
Vickery,Vickery,OH,Ohio,Sandusky,41.3769,-82.9416,47,42,America/New_York,3,1840085253
Wightmans Grove,Wightmans Grove,OH,Ohio,Sandusky,41.4241,-83.0466,47,128,America/New_York,3,1840024154
Metz,Metz,MO,Missouri,Vernon,37.9965,-94.4430,47,143,America/Chicago,3,1840009860
Cedar Mills,Cedar Mills,MN,Minnesota,Meeker,44.9431,-94.5196,47,56,America/Chicago,3,1840006734
Trail,Trail,MN,Minnesota,Polk,47.7833,-95.6981,47,18,America/Chicago,3,1840009961
Sedan,Sedan,MN,Minnesota,Pope,45.5782,-95.2451,47,37,America/Chicago,3,1840008891
Outlook,Outlook,MT,Montana,Sheridan,48.8888,-104.7849,47,14,America/Denver,3,1840022281
Waverly,Waverly,SD,South Dakota,Codington,44.9987,-96.9742,47,17,America/Chicago,3,1840026115
Hetland,Hetland,SD,South Dakota,Kingsbury,44.3772,-97.2347,47,158,America/Chicago,3,1840002500
Akaska,Akaska,SD,South Dakota,Walworth,45.3309,-100.1207,47,29,America/Chicago,3,1840002086
Concepcion,Concepcion,TX,Texas,Duval,27.3951,-98.3558,46,222,America/Chicago,3,1840018296
Beaver,Beaver,AK,Alaska,Yukon-Koyukuk,66.3830,-147.3219,46,0,America/Anchorage,3,1840057025
Robinson,Robinson,ND,North Dakota,Kidder,47.1420,-99.7813,46,103,America/Chicago,3,1840000151
Courtenay,Courtenay,ND,North Dakota,Stutsman,47.2241,-98.5685,46,42,America/Chicago,3,1840001923
Dahlen,Dahlen,ND,North Dakota,Nelson,48.1587,-97.9320,46,127,America/Chicago,3,1840023778
Harbine,Harbine,NE,Nebraska,Jefferson,40.1916,-96.9742,46,169,America/Chicago,3,1840012284
Tarnov,Tarnov,NE,Nebraska,Platte,41.6148,-97.5025,46,559,America/Chicago,3,1840011456
Belvidere,Belvidere,NE,Nebraska,Thayer,40.2546,-97.5577,46,37,America/Chicago,3,1840012280
Emmet,Emmet,NE,Nebraska,Holt,42.4757,-98.8093,46,68,America/Chicago,3,1840011045
Keystone,Keystone,NE,Nebraska,Keith,41.2187,-101.5841,46,88,America/Denver,3,1840024160
Gazelle,Gazelle,CA,California,Siskiyou,41.5137,-122.5215,46,30,America/Los_Angeles,3,1840092162
Dayton,Dayton,AL,Alabama,Marengo,32.3509,-87.6416,46,17,America/Chicago,3,1840016995
Wiederkehr Village,Wiederkehr Village,AR,Arkansas,Franklin,35.4813,-93.7578,46,4,America/Chicago,3,1840015396
Cotter,Cotter,IA,Iowa,Louisa,41.2940,-91.4658,46,72,America/Chicago,3,1840007136
Comobabi,Comobabi,AZ,Arizona,Pima,32.0538,-111.8029,46,15,America/Phoenix,3,1840023068
Strong City,Strong City,OK,Oklahoma,Roger Mills,35.6699,-99.6003,46,34,America/Chicago,3,1840022710
Hollister,Hollister,OK,Oklahoma,Tillman,34.3413,-98.8706,46,72,America/Chicago,3,1840021895
Vista,Vista,MO,Missouri,St. Clair,37.9891,-93.6637,46,135,America/Chicago,3,1840012944
La Due,La Due,MO,Missouri,Henry,38.3126,-93.8777,46,220,America/Chicago,3,1840012893
Pendleton,Pendleton,MO,Missouri,Warren,38.8263,-91.2322,46,195,America/Chicago,3,1840012807
Edmond,Edmond,KS,Kansas,Norton,39.6271,-99.8197,46,107,America/Chicago,3,1840008420
Cooke City,Cooke City,MT,Montana,Park,45.0187,-109.9119,46,1,America/Denver,3,1840023883
Blaine,Blaine,KY,Kentucky,Lawrence,38.0272,-82.8413,46,62,America/New_York,3,1840013211
Hampden,Hampden,ND,North Dakota,Ramsey,48.5396,-98.6544,45,101,America/Chicago,3,1840000074
Voltaire,Voltaire,ND,North Dakota,McHenry,48.0187,-100.8440,45,35,America/Chicago,3,1840000061
Stockham,Stockham,NE,Nebraska,Hamilton,40.7163,-97.9433,45,102,America/Chicago,3,1840011737
Saronville,Saronville,NE,Nebraska,Clay,40.6029,-97.9386,45,116,America/Chicago,3,1840012062
Lisco,Lisco,NE,Nebraska,Garden,41.4987,-102.6237,45,29,America/Denver,3,1840033155
Deer Grove,Deer Grove,IL,Illinois,Whiteside,41.6096,-89.6866,45,42,America/Chicago,3,1840011420
La Prairie,La Prairie,IL,Illinois,Adams,40.1473,-91.0024,45,90,America/Chicago,3,1840012362
Deputy,Deputy,IN,Indiana,Jefferson,38.7952,-85.6528,45,235,America/Indiana/Indianapolis,3,1840025648
Fenwick,Fenwick,CT,Connecticut,Middlesex,41.2711,-72.3546,45,44,America/New_York,3,1840004843
Spring Gap,Spring Gap,MD,Maryland,Allegany,39.5653,-78.7054,45,26,America/New_York,3,1840024436
Harwood,Harwood,MO,Missouri,Vernon,37.9567,-94.1539,45,165,America/Chicago,3,1840012959
Aldrich,Aldrich,MN,Minnesota,Wadena,46.3747,-94.9394,45,35,America/Chicago,3,1840006639
Myrtle,Myrtle,MN,Minnesota,Freeborn,43.5632,-93.1630,45,179,America/Chicago,3,1840007933
Vienna,Vienna,SD,South Dakota,Clark,44.7032,-97.5000,45,20,America/Chicago,3,1840002150
Farson,Farson,WY,Wyoming,Sweetwater,42.1528,-109.4283,44,0,America/Denver,3,1840030693
Playas,Playas,NM,New Mexico,Hidalgo,31.9126,-108.5363,44,9,America/Denver,3,1840025102
Faywood,Faywood,NM,New Mexico,Grant,32.6248,-107.8723,44,32,America/Denver,3,1840040031
Encino,Encino,TX,Texas,Brooks,26.9363,-98.1153,44,2,America/Chicago,3,1840018302
Airport Heights,Airport Heights,TX,Texas,Starr,26.4087,-98.8366,44,429,America/Chicago,3,1840040600
Sammy Martinez,Sammy Martinez,TX,Texas,Starr,26.4329,-98.7512,44,54,America/Chicago,3,1840041487
Karluk,Karluk,AK,Alaska,Kodiak Island,57.5845,-154.3255,44,0,America/Anchorage,3,1840094423
Forbes,Forbes,ND,North Dakota,Dickey,45.9425,-98.7820,44,70,America/Chicago,3,1840000252
Norman,Norman,NE,Nebraska,Kearney,40.4791,-98.7922,44,183,America/Chicago,3,1840012067
Volcano,Volcano,CA,California,Amador,38.4456,-120.6306,44,11,America/Los_Angeles,3,1840024640
Tinsman,Tinsman,AR,Arkansas,Calhoun,33.6291,-92.3533,44,32,America/Chicago,3,1840016811
East Montpelier,East Montpelier,VT,Vermont,Washington,44.2694,-72.4882,44,186,America/New_York,3,1840085271
Pleasanton,Pleasanton,IA,Iowa,Decatur,40.5825,-93.7430,44,48,America/Chicago,3,1840009393
Anderson,Anderson,IA,Iowa,Fremont,40.7983,-95.6086,44,51,America/Chicago,3,1840092097
Reid,Reid,MD,Maryland,Washington,39.7126,-77.6794,44,135,America/New_York,3,1840024409
Beryl Junction,Beryl Junction,UT,Utah,Iron,37.7009,-113.6535,44,9,America/Denver,3,1840026787
Osgood,Osgood,MO,Missouri,Sullivan,40.1973,-93.3499,44,93,America/Chicago,3,1840012242
North Lilbourn,North Lilbourn,MO,Missouri,New Madrid,36.6018,-89.6221,44,98,America/Chicago,3,1840013056
